               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027208,            0.055749,            0.016797,             0.90685,             0.72845,             0.78779,              0.6218,            0.024664,             0.05846,            0.026238,              0.0811,              0.0021,              0.0021
                   1,            0.029438,            0.057775,            0.017142,             0.76489,              0.6905,              0.7384,             0.50728,            0.028842,            0.061687,            0.027383,            0.061279,           0.0042787,           0.0042787
                   2,            0.033887,            0.062167,            0.020025,              0.8556,              0.7251,             0.75962,              0.4809,            0.034297,            0.064578,            0.026026,            0.041436,           0.0064357,           0.0064357
                   3,             0.03909,            0.063418,            0.016179,             0.79057,             0.71805,              0.7245,             0.42406,            0.040479,            0.066022,            0.025616,            0.021571,           0.0085708,           0.0085708
                   4,            0.042208,            0.063609,            0.015846,             0.43418,             0.98175,             0.73649,             0.38876,            0.037442,            0.067524,            0.027341,            0.009802,            0.009802,            0.009802
                   5,            0.039398,            0.068731,            0.018685,              0.4324,             0.96446,             0.67289,             0.42989,            0.035392,            0.067437,            0.026945,            0.009802,            0.009802,            0.009802
                   6,            0.036226,             0.07113,             0.01921,              0.9107,             0.68928,             0.79107,             0.58929,             0.03056,             0.06453,            0.026614,           0.0097525,           0.0097525,           0.0097525
                   7,            0.039184,            0.067085,            0.019397,             0.91049,             0.67526,             0.79282,              0.5828,            0.030895,            0.062705,            0.025717,            0.009703,            0.009703,            0.009703
                   8,            0.040238,            0.067756,            0.017558,             0.41878,             0.98045,              0.7225,             0.45662,            0.031576,            0.062976,            0.027839,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039227,            0.064257,            0.018898,              0.7852,             0.69971,             0.73688,             0.49804,            0.034906,            0.066035,            0.025347,            0.009604,            0.009604,            0.009604
                  10,            0.036807,            0.065471,            0.017144,             0.49851,             0.97562,             0.77487,             0.54575,            0.031256,            0.068836,            0.026727,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035894,            0.066642,            0.017979,             0.90437,             0.68675,             0.78385,             0.56223,            0.029095,            0.064082,             0.02524,            0.009505,            0.009505,            0.009505
                  12,            0.037883,            0.067465,            0.017143,             0.43146,             0.97365,             0.71709,             0.44693,            0.033324,            0.065838,            0.025272,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037589,            0.061632,            0.017865,             0.89347,             0.69676,               0.799,             0.52023,            0.031288,            0.063285,              0.0239,            0.009406,            0.009406,            0.009406
                  14,            0.036598,            0.060413,            0.019294,              0.8427,             0.65808,             0.77817,             0.50829,            0.037188,            0.064817,            0.024739,           0.0093565,           0.0093565,           0.0093565
                  15,             0.03962,            0.064401,            0.019255,             0.58975,             0.96775,             0.83433,             0.58188,            0.031248,            0.062605,            0.024183,            0.009307,            0.009307,            0.009307
                  16,            0.039251,            0.067366,            0.018465,             0.62363,             0.87037,             0.84904,             0.57345,            0.031818,            0.063124,            0.023585,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037606,            0.062284,            0.017835,             0.56814,             0.92931,             0.79073,             0.54111,            0.035702,            0.064352,            0.025304,            0.009208,            0.009208,            0.009208
                  18,            0.037517,            0.063819,             0.01642,             0.52002,             0.94674,              0.7909,             0.46305,            0.036542,            0.064481,            0.026548,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037624,            0.063778,            0.018192,             0.74426,             0.81346,             0.85817,             0.54746,            0.034574,            0.064501,            0.022782,            0.009109,            0.009109,            0.009109
                  20,            0.037489,              0.0636,            0.016453,             0.67839,             0.89631,             0.86489,              0.4995,            0.036174,            0.062992,            0.021538,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038962,            0.066891,            0.016366,             0.80775,             0.94225,             0.93547,              0.6397,            0.031105,            0.060781,            0.021033,             0.00901,             0.00901,             0.00901
                  22,            0.036701,            0.064989,            0.015393,             0.71889,             0.87048,             0.91096,             0.64638,            0.032022,            0.061371,            0.021948,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036803,            0.065514,            0.015943,             0.84236,             0.88337,             0.89388,             0.59433,            0.030189,            0.060194,            0.021488,            0.008911,            0.008911,            0.008911
